Employee Name,Client,Project,Service,Start Date,End Date,Start Time,End Time,Number of hours,Amount
Eliza Auseillo,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,SF Design Build,SF Design Build-Visual Brand Identity,Visual Brand Identity,4/29/26,4/29/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,Kentik,Kentik-Design System Application,Design System Application,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,4/29/26,4/29/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,UC Berkeley,UC Berkeley-Website Design,Website Design,4/29/26,4/29/26,9:00:00 AM,1:00:00 PM,4,700
Priscilla Vega,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,4/29/26,4/29/26,9:00:00 AM,10:00:00 AM,1,150
Priscilla Vega,Apple Education,Apple Education-Website Design,Website Design,4/29/26,4/29/26,10:00:00 AM,1:00:00 PM,3,450
Priscilla Vega,UC Berkeley,UC Berkeley-Website Design,Website Design,4/29/26,4/29/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Circus Bella,Circus Bella-Website Design,Website Design,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,UC Berkeley,UC Berkeley-Website Design,Website Design,4/30/26,4/30/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,UC Merced,UC Merced-Facilitation,Facilitation,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,800
Ariana Wolf,Amanda Hunt,Amanda Hunt-Business Development/Executive Coaching,Business Development/Executive Coaching,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,SF Design Build,SF Design Build-Visual Brand Identity,Visual Brand Identity,4/30/26,4/30/26,1:00:00 PM,3:00:00 PM,2,500
Ariana Wolf,A5 Meat,A5 Meat-Website Design,Website Design,4/30/26,4/30/26,3:00:00 PM,5:00:00 PM,2,500
Brittany Luby,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,Zelma Rose,Zelma Rose-Website Design,Website Design,4/30/26,4/30/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Kentik,Kentik-Design System Application,Design System Application,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,4/30/26,4/30/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,Amanda Hunt,Amanda Hunt-Book Design,Book Design,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,Bash Please,Bash Please-Website Design,Website Design,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,SF Design Build,SF Design Build-Website Design,Website Design,4/30/26,4/30/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,4/30/26,4/30/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,UC Berkeley,UC Berkeley-Website Design,Website Design,4/30/26,4/30/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,UC Berkeley,UC Berkeley-Website Design,Website Design,5/1/26,5/1/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,SF Design Build,SF Design Build-Visual Brand Identity,Visual Brand Identity,5/1/26,5/1/26,9:00:00 AM,12:00:00 PM,3,600
Ali Lawrence,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/1/26,5/1/26,12:00:00 PM,4:00:00 PM,4,800
Ariana Wolf,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,UC Berkeley,UC Berkeley-Website Design,Website Design,5/1/26,5/1/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,Circus Bella,Circus Bella-Website Design,Website Design,5/1/26,5/1/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Kentik,Kentik-Design System Application,Design System Application,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,Bash Please,Bash Please-Website Design,Website Design,5/1/26,5/1/26,1:00:00 PM,4:00:00 PM,3,300
Eliza Auseillo,UC Berkeley,UC Berkeley-Website Design,Website Design,5/1/26,5/1/26,4:00:00 PM,5:00:00 PM,1,100
Katrina McHugh,UC Berkeley,UC Berkeley-Brand Guidelines,Brand Guidelines,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,Kentik,Kentik-Design System Application,Design System Application,5/1/26,5/1/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Amanda Hunt,Amanda Hunt-Book Design,Book Design,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,UC Merced,UC Merced-Facilitation,Facilitation,5/1/26,5/1/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,Zelma Rose,Zelma Rose-Website Design,Website Design,5/1/26,5/1/26,9:00:00 AM,1:00:00 PM,4,600
Alexis Joseph,A5 Meat,A5 Meat-Website Design,Website Design,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,Circus Bella,Circus Bella-Website Design,Website Design,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,800
Ariana Wolf,Alameda Health System,Alameda Health System-Business Development/Executive Coaching,Business Development/Executive Coaching,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,UC Berkeley,UC Berkeley-Website Design,Website Design,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Kentik,Kentik-Website Design,Website Design,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,400
Katrina McHugh,Kentik,Kentik-Design System Application,Design System Application,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,UC Merced,UC Merced-Facilitation,Facilitation,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,Bash Please,Bash Please-Website Design,Website Design,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,Amanda Hunt,Amanda Hunt-Book Design,Book Design,5/4/26,5/4/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,Zelma Rose,Zelma Rose-Website Design,Website Design,5/4/26,5/4/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,5/5/26,5/5/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/5/26,5/5/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Amanda Hunt,Amanda Hunt-Business Development/Executive Coaching,Business Development/Executive Coaching,5/5/26,5/5/26,9:00:00 AM,11:00:00 AM,2,400
Ali Lawrence,SF Design Build,SF Design Build-Visual Brand Identity,Visual Brand Identity,5/5/26,5/5/26,11:00:00 AM,3:00:00 PM,4,800
Ariana Wolf,Bash Please,Bash Please-Website Design,Website Design,5/5/26,5/5/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,Circus Bella,Circus Bella-Website Design,Website Design,5/5/26,5/5/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,5/5/26,5/5/26,9:00:00 AM,1:00:00 PM,4,600
Eliza Auseillo,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Social Graphics,Social Graphics,5/5/26,5/5/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,SF Design Build,SF Design Build-Website Design,Website Design,5/5/26,5/5/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,5/5/26,5/5/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/5/26,5/5/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Amanda Hunt,Amanda Hunt-Book Design,Book Design,5/5/26,5/5/26,9:00:00 AM,12:00:00 PM,3,525
Matt Meickle,UC Merced,UC Merced-Facilitation,Facilitation,5/5/26,5/5/26,12:00:00 PM,1:00:00 PM,1,175
Matt Meickle,Kentik,Kentik-Website Design,Website Design,5/5/26,5/5/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,A5 Meat,A5 Meat-Website Design,Website Design,5/5/26,5/5/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,Kentik,Kentik-Website Design,Website Design,5/5/26,5/5/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,Apple Education,Apple Education-Website Design,Website Design,5/6/26,5/6/26,1:00:00 PM,2:00:00 PM,1,200
Alexis Joseph,UC Berkeley,UC Berkeley-Website Design,Website Design,5/6/26,5/6/26,2:00:00 PM,5:00:00 PM,3,600
Ali Lawrence,UC Merced,UC Merced-Business Development/Executive Coaching,Business Development/Executive Coaching,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,UC Merced,UC Merced-Facilitation,Facilitation,5/6/26,5/6/26,1:00:00 PM,5:00:00 PM,4,800
Ariana Wolf,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,UC Berkeley,UC Berkeley-Website Design,Website Design,5/6/26,5/6/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Social Graphics,Social Graphics,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,Kentik,Kentik-Website Design,Website Design,5/6/26,5/6/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,5/6/26,5/6/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,5/6/26,5/6/26,9:00:00 AM,12:00:00 PM,3,525
Matt Meickle,Circus Bella,Circus Bella-Website Design,Website Design,5/6/26,5/6/26,12:00:00 PM,1:00:00 PM,1,175
Matt Meickle,Kentik,Kentik-Website Design,Website Design,5/6/26,5/6/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,UC Berkeley,UC Berkeley-Brand Guidelines,Brand Guidelines,5/6/26,5/6/26,9:00:00 AM,1:00:00 PM,4,600
Alexis Joseph,Kentik,Kentik-Website Design,Website Design,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,UC Berkeley,UC Berkeley-Brand Guidelines,Brand Guidelines,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,Amanda Hunt,Amanda Hunt-Business Development/Executive Coaching,Business Development/Executive Coaching,5/7/26,5/7/26,1:00:00 PM,5:00:00 PM,4,800
Ariana Wolf,Circus Bella,Circus Bella-Brand Guidelines,Brand Guidelines,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,1000
Brittany Luby,A5 Meat,A5 Meat-Website Design,Website Design,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,SF Design Build,SF Design Build-Website Design,Website Design,5/7/26,5/7/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,UC Berkeley,UC Berkeley-Website Design,Website Design,5/7/26,5/7/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,Amanda Hunt,Amanda Hunt-Book Design,Book Design,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,5/7/26,5/7/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,Kentik,Kentik-Website Design,Website Design,5/7/26,5/7/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,A5 Meat,A5 Meat-Marketing Assets,Marketing Assets,5/7/26,5/7/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Social Graphics,Social Graphics,5/7/26,5/7/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Social Graphics,Social Graphics,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,UC Berkeley,UC Berkeley-Website Design,Website Design,5/8/26,5/8/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Bash Please,Bash Please-Visual Brand Identity,Visual Brand Identity,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,800
Ariana Wolf,Amanda Hunt,Amanda Hunt-Business Development/Executive Coaching,Business Development/Executive Coaching,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,UC Merced,UC Merced-Facilitation,Facilitation,5/8/26,5/8/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,Apple Education,Apple Education-Website Design,Website Design,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,Bash Please,Bash Please-Website Design,Website Design,5/8/26,5/8/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,A5 Meat,A5 Meat-Website Design,Website Design,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,Circus Bella,Circus Bella-Website Design,Website Design,5/8/26,5/8/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,UC Berkeley,UC Berkeley-Brand Guidelines,Brand Guidelines,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,Kentik,Kentik-Design System Application,Design System Application,5/8/26,5/8/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,700
Priscilla Vega,Kentik,Kentik-Website Design,Website Design,5/8/26,5/8/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,SF Design Build,SF Design Build-Website Design,Website Design,5/8/26,5/8/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,SF Design Build,SF Design Build-Website Design,Website Design,5/11/26,5/11/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Kentik,Kentik-Business Development/Executive Coaching,Business Development/Executive Coaching,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,800
Ali Lawrence,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/11/26,5/11/26,1:00:00 PM,5:00:00 PM,4,800
Ariana Wolf,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,1000
Brittany Luby,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Social Graphics,Social Graphics,5/11/26,5/11/26,9:00:00 AM,12:00:00 PM,3,450
Brittany Luby,Circus Bella,Circus Bella-Website Design,Website Design,5/11/26,5/11/26,12:00:00 PM,1:00:00 PM,1,150
Brittany Luby,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/11/26,5/11/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,Kentik,Kentik-Website Design,Website Design,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,400
Katrina McHugh,Amanda Hunt,Amanda Hunt-Book Design,Book Design,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,UC Berkeley,UC Berkeley-Brand Guidelines,Brand Guidelines,5/11/26,5/11/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Kentik,Kentik-Website Design,Website Design,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,UC Berkeley,UC Berkeley-Website Design,Website Design,5/11/26,5/11/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/11/26,5/11/26,9:00:00 AM,1:00:00 PM,4,600
Priscilla Vega,SF Design Build,SF Design Build-Sales Collateral,Sales Collateral,5/11/26,5/11/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Bash Please,Bash Please-Website Design,Website Design,5/12/26,5/12/26,9:00:00 AM,1:00:00 PM,4,800
Alexis Joseph,Circus Bella,Circus Bella-Website Design,Website Design,5/12/26,5/12/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/12/26,5/12/26,9:00:00 AM,1:00:00 PM,4,800
Ariana Wolf,Alameda Health System,Alameda Health System-Business Development/Executive Coaching,Business Development/Executive Coaching,5/12/26,5/12/26,9:00:00 AM,12:00:00 PM,3,750
Ariana Wolf,UC Merced,UC Merced-Business Development/Executive Coaching,Business Development/Executive Coaching,5/12/26,5/12/26,10:00:00 AM,12:00:00 PM,2,500
Ariana Wolf,Alameda Health System,Alameda Health System-Visual Brand Identity,Visual Brand Identity,5/12/26,5/12/26,1:00:00 PM,6:00:00 PM,5,1250
Brittany Luby,Kentik,Kentik-Website Design,Website Design,5/12/26,5/12/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/12/26,5/12/26,1:00:00 PM,5:00:00 PM,4,600
Eliza Auseillo,SF Design Build,SF Design Build-Sales Collateral,Sales Collateral,5/12/26,5/12/26,9:00:00 AM,1:00:00 PM,4,400
Eliza Auseillo,UC Merced,UC Merced-Visual Brand Identity,Visual Brand Identity,5/12/26,5/12/26,1:00:00 PM,5:00:00 PM,4,400
Katrina McHugh,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/12/26,5/12/26,9:00:00 AM,1:00:00 PM,4,700
Katrina McHugh,SF Design Build,SF Design Build-Visual Brand Identity,Visual Brand Identity,5/12/26,5/12/26,1:00:00 PM,5:00:00 PM,4,700
Matt Meickle,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Visual Brand Identity,Visual Brand Identity,5/12/26,5/12/26,9:00:00 AM,1:00:00 PM,4,700
Matt Meickle,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/12/26,5/12/26,1:00:00 PM,5:00:00 PM,4,700
Priscilla Vega,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/12/26,5/12/26,9:00:00 AM,11:00:00 AM,2,300
Priscilla Vega,Circus Bella,Circus Bella-Website Design,Website Design,5/12/26,5/12/26,11:00:00 AM,1:00:00 PM,2,300
Priscilla Vega,Kentik,Kentik-Website Design,Website Design,5/12/26,5/12/26,1:00:00 PM,5:00:00 PM,4,600
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Marketing Assets,Marketing Assets,5/13/26,5/13/26,9:00:00 AM,10:00:00 AM,1,200
Alexis Joseph,Bash Please,Bash Please-Website Design,Website Design,5/13/26,5/13/26,10:00:00 AM,1:00:00 PM,3,600
Alexis Joseph,Pt. Reyes Building Supply,Pt. Reyes Building Supply-Website Design,Website Design,5/13/26,5/13/26,1:00:00 PM,5:00:00 PM,4,800
Ali Lawrence,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/13/26,5/13/26,9:00:00 AM,1:00:00 PM,4,800
Ariana Wolf,Alameda Health System,Alameda Health System-Brand Guidelines,Brand Guidelines,5/13/26,5/13/26,9:00:00 AM,1:00:00 PM,4,1000
Ariana Wolf,Alameda Health System,Alameda Health System-Business Development/Executive Coaching,Business Development/Executive Coaching,5/13/26,5/13/26,1:00:00 PM,5:00:00 PM,4,1000
Brittany Luby,SF Design Build,SF Design Build-Sales Collateral,Sales Collateral,5/13/26,5/13/26,9:00:00 AM,1:00:00 PM,4,600
Brittany Luby,UC Berkeley,UC Berkeley-Website Design,Website Design,5/13/26,5/13/26,1:00:00 PM,5:00:00 PM,4,600
